carat,cut,color,clarity,depth,table,price,x,y,z
0.8,Premium,J,SI2,60.2,59,2022,6.07,5.95,3.62
0.32,Premium,G,VS2,60.2,57,720,4.45,4.42,2.67
0.72,Ideal,D,VS1,61.6,56,3554,5.8,5.73,3.55
0.78,Ideal,H,SI2,61.9,54,2012,5.89,5.85,3.63
1.05,Good,E,I1,64.1,58,2066,6.46,6.32,4.09
2,Very Good,H,SI2,61,57,14340,8.02,8.18,4.94
0.7,Very Good,I,VS1,62.2,57,2332,5.69,5.72,3.55
0.68,Good,F,SI1,58.1,60,2074,5.8,5.91,3.4
0.73,Ideal,E,VS2,62.7,56,3077,5.75,5.8,3.62
1.25,Ideal,F,VVS1,62.2,56,12698,6.93,6.89,4.3
0.51,Premium,D,VS2,60.9,58,1716,5.18,5.14,3.14
0.4,Premium,E,SI1,62,61,882,4.71,4.67,2.91
1.12,Ideal,G,VS1,61,56,7632,6.76,6.72,4.11
0.42,Ideal,H,SI1,62.4,57,898,4.79,4.76,2.98
1.11,Premium,J,VS2,62.6,59,4265,6.6,6.56,4.12
0.55,Ideal,F,SI1,62.4,55,1410,5.23,5.28,3.28
1.02,Premium,G,VVS2,62.2,60,7602,6.39,6.43,3.99
0.31,Premium,I,SI1,62.8,60,537,4.31,4.29,2.7
0.73,Ideal,H,SI2,62.3,56,2278,5.78,5.72,3.58
0.9,Good,E,SI1,63.9,55,4463,6.08,6.13,3.9
1,Fair,H,SI2,65.2,54,2912,6.3,6.22,4.08
0.33,Ideal,D,VS1,61,56,839,4.45,4.47,2.72
0.82,Very Good,E,VS2,62.8,59,4135,5.92,5.93,3.72
0.33,Good,D,SI2,63.3,53,492,4.39,4.42,2.79
1.11,Ideal,E,SI2,61.4,58,5938,6.63,6.66,4.08
0.33,Premium,E,SI1,60.7,57,743,4.47,4.43,2.7
1.07,Premium,F,SI2,61.8,59,4560,6.53,6.57,4.05
0.92,Ideal,J,SI1,61.7,57,3181,6.21,6.26,3.85
1.51,Ideal,H,VS2,62.4,56,12219,7.33,7.28,4.56
0.43,Ideal,G,VS1,61.2,57,880,4.83,4.88,2.97
0.32,Premium,J,SI1,62.2,59,365,4.37,4.41,2.73
0.27,Ideal,I,VS1,62,56,432,4.16,4.19,2.59
0.3,Ideal,H,VVS2,60.8,58,590,4.33,4.38,2.65
0.9,Good,G,SI2,64.1,63,3246,6.02,5.99,3.85
0.31,Ideal,F,VVS1,61.8,56,884,4.33,4.37,2.69
0.42,Ideal,E,VVS2,61.8,56,1273,4.8,4.78,2.96
1.27,Ideal,J,SI2,62.6,57,4693,6.85,6.88,4.3
0.33,Ideal,E,VS1,61.6,56,1002,4.46,4.43,2.74
0.33,Premium,E,VS2,61.9,58,804,4.47,4.42,2.75
0.92,Premium,D,SI1,62.3,58,4350,6.21,6.27,3.89
0.39,Ideal,E,VS1,62.3,57,1097,4.67,4.64,2.9
0.52,Premium,F,SI1,58.6,61,1338,5.3,5.28,3.1
0.64,Ideal,E,SI1,60.9,57,2215,5.56,5.58,3.39
1.01,Premium,G,SI2,60.6,59,3981,6.49,6.41,3.91
0.35,Ideal,D,VS2,62.1,54,777,4.54,4.58,2.83
0.53,Ideal,I,IF,62.1,55,1654,5.18,5.22,3.23
0.38,Very Good,I,VS2,61.7,56,680,4.65,4.68,2.88
1.1,Very Good,I,VS1,61,59,4878,6.65,6.67,4.06
0.25,Very Good,F,VVS2,61.8,58,575,4.05,4.07,2.51
0.37,Very Good,G,SI2,63.4,57,624,4.57,4.55,2.89
0.31,Ideal,I,VS1,61.9,54,461,4.33,4.36,2.69
0.58,Premium,D,VS1,59.2,60,2401,5.46,5.41,3.22
0.9,Premium,F,VS1,59,58,4687,6.33,6.29,3.72
0.34,Ideal,E,VS2,62.6,55,956,4.45,4.43,2.78
0.41,Ideal,G,VS2,62.7,56,827,4.71,4.76,2.97
1.01,Good,F,VS2,63.1,59,5817,6.31,6.37,4
1.07,Ideal,G,SI1,61.7,54,5532,6.59,6.61,4.07
0.4,Very Good,J,VS1,63,58,631,4.66,4.7,2.95
0.27,Very Good,F,VVS1,61.8,56,682,4.15,4.17,2.57
1.25,Very Good,E,VS1,61.5,59,10285,6.91,6.95,4.26
1.09,Ideal,G,VVS2,61.5,55,8057,6.66,6.61,4.08
1.01,Good,I,SI1,64.1,59,3676,6.24,6.21,3.99
0.7,Good,F,SI1,57.9,63,2190,5.8,5.84,3.37
1.01,Very Good,D,VVS1,62.8,57,13312,6.36,6.41,4.01
0.32,Premium,I,SI1,61.1,59,540,4.42,4.38,2.69
0.34,Ideal,E,SI2,62,56,477,4.45,4.48,2.77
0.3,Very Good,G,VVS2,63.3,57,878,4.27,4.23,2.69
2.01,Ideal,F,SI2,62.9,56,13201,8.05,7.9,5.02
1,Good,E,VS2,57.4,58,6160,6.61,6.57,3.78
2,Premium,G,SI2,62.1,59,15897,8.12,8.02,5.01
0.63,Premium,I,VS1,62,58,1667,5.52,5.45,3.4
1.08,Ideal,D,SI2,60.2,57,5247,6.63,6.67,4
0.54,Ideal,G,VS2,61,57,1644,5.24,5.28,3.21
2.02,Premium,J,SI1,61.6,58,12431,8.14,8.1,5
0.32,Premium,H,VVS2,62.1,58,828,4.39,4.34,2.71
0.32,Ideal,G,VVS2,62.2,56,730,4.34,4.38,2.71
0.71,Premium,E,SI1,60.3,58,2479,5.78,5.76,3.48
2.02,Ideal,I,SI1,62.3,57,15785,8.07,8.11,5.04
0.7,Premium,F,SI1,61.9,59,2401,5.69,5.71,3.53
1.01,Very Good,H,VS2,63.1,59,5260,6.34,6.3,3.99
1.01,Premium,F,VS1,61.4,60,7792,6.45,6.39,3.94
0.58,Ideal,D,SI2,61.2,57,1442,5.4,5.36,3.29
1.03,Ideal,G,VS1,61.4,55,7481,6.5,6.53,4
0.35,Premium,E,VVS1,61,58,1116,4.56,4.52,2.77
1.05,Ideal,G,VS2,61.7,57,7028,6.56,6.53,4.04
2.3,Ideal,G,SI2,61.4,57,14744,8.51,8.48,5.22
1.51,Ideal,G,VS2,61.9,57,13115,7.37,7.3,4.54
0.3,Premium,D,VS2,60.9,58,710,4.32,4.35,2.64
1.19,Very Good,J,SI1,60,57,5390,6.93,6.89,4.15
1.05,Ideal,G,IF,62.5,56,9012,6.52,6.48,4.06
0.37,Ideal,F,VVS1,61.3,56,997,4.65,4.68,2.86
0.53,Ideal,G,VS1,61.6,57,1607,5.21,5.24,3.22
0.52,Premium,F,VS2,62.1,59,1720,5.15,5.12,3.19
0.81,Ideal,G,VVS2,61.7,55.1,4127,5.97,6.04,3.71
0.41,Ideal,D,VS1,62.8,57,1230,4.76,4.73,2.98
0.31,Ideal,G,VVS1,62.5,57,1046,4.36,4.31,2.71
1.71,Very Good,D,SI2,63.5,56,11844,7.58,7.51,4.79
0.81,Ideal,D,VS2,59.5,60,4315,6.08,6.15,3.64
0.5,Good,D,VS2,63.4,56,1635,5.05,5.1,3.22
0.93,Good,G,SI1,63.8,58,4452,6.09,6.14,3.9
1.01,Premium,F,VS1,58.8,60,7862,6.59,6.51,3.85
1.04,Very Good,G,VS2,61.8,56,6177,6.47,6.5,4.01
0.73,Ideal,G,SI1,61.4,57,3089,5.74,5.79,3.54
0.57,Ideal,E,VS1,61.3,57,2110,5.34,5.37,3.28
1.04,Premium,F,VVS2,62.5,58,8946,6.46,6.37,4.01
1.25,Ideal,F,VS1,62,55,9761,6.95,6.91,4.3
0.71,Very Good,H,VS1,62.8,59,2428,5.61,5.7,3.55
1.7,Premium,G,SI1,62.4,59,9777,7.63,7.57,4.74
0.34,Ideal,E,VVS1,61.4,56,973,4.51,4.54,2.78
1.18,Ideal,G,VS1,61.9,56,8556,6.81,6.76,4.2
0.53,Very Good,E,VS2,61.6,57,1721,5.18,5.21,3.2
1.51,Ideal,G,VS2,62.2,57,12947,7.28,7.36,4.55
0.31,Ideal,H,VVS1,61.3,56,671,4.36,4.39,2.68
1.77,Premium,I,VS1,62.2,58,13085,7.76,7.68,4.8
1.1,Ideal,G,SI2,62.6,56,5535,6.64,6.58,4.14
1.01,Ideal,F,VVS2,61,57,8688,6.52,6.46,3.96
0.42,Premium,G,SI1,61.6,61,882,4.82,4.79,2.96
0.93,Very Good,E,SI2,60.5,57,4325,6.32,6.37,3.84
0.55,Ideal,G,VVS2,60.8,56.9,2064,5.27,5.31,3.22
0.51,Very Good,G,VS2,62.9,58,1438,5.05,5.12,3.2
0.41,Very Good,J,VS1,61.3,59,647,4.74,4.78,2.92
0.7,Ideal,G,VS1,61.3,59,2987,5.68,5.7,3.49
0.51,Good,D,VS2,63.5,56,1668,5.04,5.1,3.22
0.92,Good,G,VS2,63.4,57,4243,6.17,6.23,3.93
0.74,Very Good,H,SI2,63.1,55,2138,5.72,5.78,3.63
0.53,Ideal,G,VVS2,61.7,56,2051,5.23,5.2,3.22
1.02,Ideal,G,SI1,62.4,55,5016,6.43,6.48,4.03
2.01,Premium,H,SI2,62.3,58,15773,8.06,8.11,5.04
0.91,Very Good,G,SI1,60.2,58,4429,6.29,6.31,3.79
0.4,Premium,D,VS1,59.2,59,1123,4.79,4.81,2.84
1.01,Ideal,D,VVS2,61.5,57,11015,6.43,6.48,3.97
0.51,Ideal,H,VVS1,62.7,57,1702,5.12,5.15,3.22
0.72,Very Good,F,SI2,63.1,58,2246,5.69,5.63,3.57
0.71,Ideal,E,SI1,61.9,56,2404,5.76,5.71,3.55
0.31,Ideal,H,VS2,61.6,55,595,4.34,4.38,2.69
2.01,Good,I,VS2,63.6,57,16003,7.87,7.95,5.03
0.72,Ideal,D,SI1,61.7,55,3568,5.77,5.8,3.57
1.03,Ideal,G,SI1,61.9,56,4928,6.46,6.5,4.01
0.34,Ideal,E,VVS1,62,56,1014,4.48,4.52,2.79
0.31,Ideal,E,VS1,60.4,57,734,4.37,4.4,2.65
0.34,Good,H,VS2,63.7,57,689,4.44,4.42,2.82
1.12,Ideal,F,VVS2,62.2,55,10949,6.64,6.68,4.14
1.03,Good,G,SI2,63.7,60,3929,6.28,6.35,4.02
0.5,Ideal,E,VS2,62.1,54,1624,5.11,5.13,3.18
0.7,Good,J,VS2,63.2,61,1843,5.59,5.62,3.54
0.35,Premium,E,VS2,61.6,58,767,4.52,4.57,2.8
0.43,Ideal,E,VS2,62.2,57,1048,4.84,4.8,3
1.13,Ideal,H,VS2,62,57,6045,6.61,6.69,4.12
1.01,Ideal,F,SI1,60.9,55,5345,6.5,6.48,3.95
0.55,Premium,F,SI2,60.6,58,1175,5.28,5.31,3.21
0.51,Very Good,D,VS1,63.1,58,1838,5.05,5.1,3.2
1.63,Ideal,I,SI1,61.3,56,9694,7.64,7.56,4.66
2.01,Good,I,VS2,64.3,60,11954,7.91,7.86,5.07
0.51,Ideal,D,VS2,61.5,56,1674,5.21,5.17,3.19
0.64,Good,F,VS2,59.3,60.7,2063,5.59,5.66,3.34
0.39,Premium,F,SI1,60.1,59,823,4.77,4.74,2.86
0.9,Ideal,I,VS2,61.3,56,3805,6.24,6.2,3.81
0.57,Ideal,E,VS1,61.4,57,2068,5.37,5.32,3.28
0.52,Premium,G,SI2,58.8,62,1196,5.31,5.3,3.12
0.3,Premium,E,SI2,61.7,61,540,4.31,4.28,2.65
0.5,Very Good,D,SI1,60.3,59,1415,5.11,5.14,3.09
0.41,Very Good,F,SI1,62.8,57,755,4.69,4.73,2.96
1.23,Premium,H,VVS2,62.8,56,8004,6.9,6.82,4.31
0.96,Premium,F,SI1,60.6,62,4480,6.39,6.35,3.86
0.7,Ideal,F,SI1,62.1,56,2596,5.67,5.65,3.51
0.32,Ideal,E,VS2,62.7,55,702,4.36,4.38,2.74
0.32,Ideal,G,VVS1,62.1,54,802,4.4,4.43,2.74
0.4,Premium,D,VVS2,60.8,59,1323,4.81,4.76,2.91
0.9,Very Good,F,SI1,62.8,59,4099,6.1,6.16,3.85
1.11,Premium,G,SI2,61.2,59,4755,6.74,6.66,4.1
0.25,Ideal,G,VS1,62.3,53,460,4.02,4.07,2.52
0.28,Very Good,H,VS1,61.9,56,429,4.18,4.2,2.59
0.56,Ideal,D,VVS1,61.9,56,3496,5.32,5.28,3.28
1.12,Very Good,E,SI1,58.8,61,5447,6.74,6.8,3.98
1,Very Good,G,SI1,59.3,63,4827,6.48,6.44,3.83
1.56,Ideal,J,SI2,62.1,55,5766,7.45,7.41,4.62
0.42,Ideal,G,VS1,62,55,984,4.83,4.78,2.98
1.01,Ideal,D,VVS2,61.6,57,12996,6.44,6.48,3.98
0.76,Good,F,VS1,59.9,61,3057,5.89,5.98,3.56
1.36,Ideal,F,VS1,61.4,57,11132,7.25,7.09,4.4
0.3,Ideal,I,VS1,62.5,57,473,4.29,4.32,2.69
0.41,Ideal,F,SI1,62.7,57,755,4.7,4.74,2.96
1.23,Ideal,G,VS1,61.2,56,9119,6.92,6.98,4.25
0.51,Premium,G,VS1,62.2,58,1662,5.11,5.09,3.17
0.71,Fair,D,SI2,64.6,60,2198,5.62,5.59,3.62
0.87,Ideal,H,VS2,61.7,57,3118,6.14,6.09,3.77
0.3,Premium,H,VVS1,62.3,58,684,4.29,4.32,2.68
0.27,Ideal,E,VVS2,62.2,55,622,4.12,4.17,2.58
1.01,Good,G,SI2,63.7,58,3626,6.31,6.35,4.03
0.33,Ideal,G,VS1,61.5,56,699,4.45,4.48,2.74
1.01,Good,F,SI1,63.7,57,4899,6.35,6.4,4.06
0.3,Good,D,SI1,63.1,55,552,4.28,4.31,2.71
0.7,Premium,F,SI1,61.9,58,2230,5.69,5.74,3.54
0.71,Very Good,I,VS2,61.4,56,2219,5.73,5.79,3.53
0.49,Premium,J,SI2,59.8,59,900,5.14,5.12,3.07
0.3,Premium,E,VVS2,60.1,59,789,4.32,4.37,2.61
0.31,Good,D,SI2,63.6,54,593,4.34,4.31,2.75
1.43,Ideal,J,SI1,60.5,58,6789,7.25,7.34,4.41
0.52,Ideal,G,VVS2,61,56,1911,5.18,5.24,3.18
0.72,Ideal,F,SI2,61.7,55,2298,5.79,5.75,3.56
1.08,Premium,G,VS1,62.9,55,6982,6.6,6.53,4.13
0.51,Good,D,SI2,63.8,56,1268,5.09,5.07,3.24
0.26,Ideal,I,VS1,62.5,53,417,4.08,4.11,2.56
0.3,Premium,F,VS1,59.8,60,799,4.39,4.31,2.6
1.55,Ideal,I,VS2,62.6,56,8831,7.35,7.41,4.62
0.71,Premium,E,SI1,60.5,55,2756,5.79,5.74,3.49
0.67,Good,G,VS2,63.8,60,1990,5.5,5.47,3.5
1.02,Premium,F,SI1,60.1,60,5686,6.58,6.53,3.94
2.07,Very Good,H,SI1,59.5,59,18489,8.27,8.3,4.92
0.4,Premium,F,SI1,61.2,58,945,4.74,4.71,2.89
0.41,Ideal,F,VS1,62.6,55,1076,4.77,4.75,2.98
1.12,Ideal,H,SI1,62.8,55,5863,6.66,6.61,4.17
0.31,Good,F,VS2,63.6,54,749,4.33,4.28,2.74
1.16,Premium,G,VVS1,61.6,55,11717,6.85,6.72,4.18
1.05,Ideal,G,VS2,61.9,57,6562,6.47,6.51,4.03
1.01,Premium,F,VS2,61.2,57.5,7277,6.43,6.45,3.94
0.54,Ideal,G,SI1,61.7,55,1187,5.24,5.27,3.24
1.01,Fair,E,VS2,64.8,59,4972,6.34,6.26,4.08
0.71,Ideal,E,SI1,61.7,55,3376,5.73,5.77,3.55
0.4,Ideal,H,VVS2,60.8,55,877,4.79,4.82,2.92
0.51,Ideal,D,SI2,59.8,55,1359,5.23,5.17,3.11
0.33,Good,F,VS2,63.2,56,666,4.39,4.41,2.78
0.42,Premium,E,SI1,61.5,58,722,4.78,4.84,2.96
0.31,Very Good,I,VS1,62.8,57,489,4.28,4.32,2.7
1.07,Very Good,I,SI1,61.8,60,4307,6.52,6.56,4.04
0.72,Ideal,D,VS1,62.3,54,3622,5.74,5.79,3.59
1.76,Very Good,I,SI2,62,57,9898,7.7,7.74,4.78
0.32,Ideal,E,IF,62.9,54,1018,4.37,4.41,2.76
2,Fair,J,SI1,66.4,55,11189,7.82,7.67,5.15
0.51,Ideal,E,SI1,61.5,55,1438,5.16,5.18,3.18
0.31,Very Good,G,VS2,63,54,544,4.33,4.37,2.74
1.01,Good,G,SI1,63.2,59,5021,6.32,6.36,4.01
0.71,Ideal,G,VVS2,61.5,57,3909,5.74,5.78,3.54
0.41,Ideal,F,VS2,62.4,58,1085,4.77,4.75,2.97
0.81,Very Good,H,SI1,60.2,58,2936,6.06,6.1,3.66
0.4,Very Good,G,SI1,62.9,57,699,4.69,4.72,2.96
0.51,Very Good,E,VVS1,59.9,57,2501,5.22,5.24,3.14
1.06,Ideal,F,VVS2,62.1,57,9118,6.54,6.5,4.05
1.51,Premium,I,SI1,61.7,60,9177,7.27,7.31,4.5
2.01,Premium,H,SI2,61.5,59,11635,8.12,8.08,4.98
1.21,Very Good,H,SI1,63.1,60,5871,6.74,6.69,4.24
0.43,Ideal,E,SI1,61.2,56.2,803,4.87,4.89,2.99
0.44,Good,J,VS1,63.2,57,694,4.82,4.86,3.06
0.53,Premium,F,VS2,60.6,55,1753,5.26,5.23,3.18
0.92,Good,E,SI1,63.7,57,4258,6.11,6.14,3.9
1.22,Very Good,G,VS2,62.3,58,8340,6.79,6.82,4.24
0.53,Ideal,G,VS1,62.2,55,1692,5.18,5.21,3.23
1.54,Premium,G,VS2,63,59,11815,7.36,7.3,4.62
0.32,Premium,E,VS1,62,58,1008,4.35,4.29,2.68
1.21,Very Good,I,VS1,61.2,58,5866,6.85,6.91,4.21
0.36,Very Good,E,SI1,61.3,56,631,4.58,4.62,2.82
2.1,Very Good,J,SI2,59.1,58,12381,8.4,8.46,4.98
1.2,Premium,G,IF,59.4,61,10169,6.95,6.92,4.12
2.01,Very Good,H,VS2,60.7,56,18561,8.08,8.17,4.93
1.2,Good,G,SI2,62.1,60,5310,6.72,6.78,4.19
0.31,Ideal,H,SI1,62.4,55,464,4.31,4.35,2.7
1.21,Ideal,G,VS1,61.3,57,10685,6.82,6.87,4.2
0.42,Premium,E,SI1,61.2,60,873,4.86,4.81,2.96
0.54,Ideal,G,VVS1,62.2,56,2080,5.18,5.23,3.24
0.38,Ideal,G,VS2,61.6,55,743,4.67,4.71,2.89
0.51,Ideal,H,SI2,61.9,54,983,5.13,5.15,3.18
0.41,Ideal,G,IF,62.4,54,1259,4.77,4.82,2.99
1,Good,E,VVS2,64.1,57,7692,6.32,6.29,4.04
0.31,Premium,G,VS1,63,57,802,4.32,4.28,2.71
1.31,Very Good,H,SI2,61.7,59,6263,6.96,7.01,4.31
1.1,Premium,G,VS1,58.4,60,7399,6.85,6.81,3.99
1.45,Fair,F,SI2,64.4,58,6455,7.17,7.11,4.59
0.7,Premium,G,SI1,60.3,61,2352,5.75,5.72,3.46
1.52,Very Good,I,VS2,61.7,55,10130,7.39,7.32,4.54
1.56,Premium,H,VS2,62.5,59,10702,7.3,7.33,4.57
1.12,Ideal,J,SI2,62.5,57,4325,6.63,6.59,4.13
0.9,Very Good,H,VS1,62.7,57,4136,6.14,6.18,3.86
0.9,Very Good,I,SI2,60.4,58,3099,6.25,6.31,3.79
0.32,Ideal,E,VS1,61.9,56,758,4.38,4.41,2.72
0.55,Ideal,F,VS1,60.6,56,1890,5.33,5.37,3.24
1.06,Premium,E,SI2,60.5,60,4652,6.61,6.67,4.02
1.68,Ideal,H,SI1,61.9,56,13375,7.63,7.72,4.75
0.51,Ideal,G,VS1,61.3,55.7,1595,5.15,5.18,3.16
0.3,Very Good,I,SI1,63.5,57,506,4.26,4.24,2.7
0.31,Ideal,G,VVS1,61.7,57,1046,4.38,4.34,2.69
1.5,Fair,F,VS2,65.3,57,13853,7.15,7.12,4.66
0.7,Very Good,J,VS1,59.6,62,1855,5.7,5.77,3.42
0.32,Very Good,D,SI1,62.6,58,589,4.33,4.36,2.72
1.51,Ideal,I,VS2,62.6,56,9234,7.32,7.27,4.57
0.73,Premium,I,VS1,60.3,58,2393,5.87,5.83,3.53
0.7,Very Good,G,SI1,62.5,59,2545,5.69,5.73,3.57
0.9,Very Good,I,SI2,63.5,56,2826,6.17,6.07,3.88
0.6,Premium,G,SI1,60.8,58,1286,5.44,5.39,3.29
0.33,Ideal,E,VVS1,60.7,57,906,4.46,4.5,2.72
2.02,Good,I,VS2,57.9,62,16789,8.25,8.3,4.79
0.56,Ideal,G,VVS1,62,56,2202,5.28,5.3,3.28
0.97,Ideal,H,SI2,60.7,55,3729,6.47,6.41,3.91
0.55,Ideal,E,SI1,60.1,57,1621,5.36,5.38,3.22
0.53,Ideal,D,IF,61.5,54,3517,5.27,5.21,3.22
0.53,Premium,F,VS1,59.4,58,1766,5.32,5.28,3.15
1.01,Premium,F,VVS2,59.3,60,8579,6.52,6.5,3.86
1.23,Ideal,H,VS2,59,57,6406,7.05,6.99,4.14
1.3,Ideal,F,VVS2,62.1,55,12629,6.96,7.04,4.35
2.3,Good,I,SI2,63.8,55,12944,8.4,8.35,5.34
0.56,Ideal,D,VS2,61.9,57,2066,5.3,5.26,3.27
0.28,Ideal,E,VVS1,62,56,828,4.23,4.19,2.61
1.01,Good,G,VS2,57.5,62,5701,6.58,6.53,3.77
1.01,Premium,G,VS2,61.9,59,5864,6.38,6.34,3.94
1.19,Ideal,D,SI2,60.4,55,5406,6.89,6.91,4.17
1.21,Ideal,H,SI1,61.2,57,5973,6.86,6.93,4.22
1.1,Premium,H,SI2,62.6,57,4435,6.6,6.56,4.12
0.5,Good,D,SI2,58.5,64,958,5.2,5.12,3.02
0.3,Ideal,F,VS2,62,55,605,4.31,4.33,2.68
0.71,Premium,E,SI1,60.8,60,2629,5.75,5.69,3.48
1.58,Ideal,I,VS1,62.4,54,10920,7.43,7.46,4.64
1.82,Premium,I,VS1,61.4,60,13939,7.83,7.8,4.8
0.71,Premium,I,SI2,60.3,58,1917,5.78,5.72,3.47
1.04,Very Good,E,SI1,63.5,56,5381,6.41,6.37,4.06
1.53,Ideal,G,SI1,62.4,57,11230,7.33,7.41,4.6
0.96,Ideal,G,SI2,62,58,3945,6.3,6.34,3.92
0.5,Fair,G,I1,65.2,56,727,4.95,4.89,3.21
0.31,Very Good,E,IF,61.5,59,1209,4.34,4.37,2.68
0.54,Ideal,I,IF,61.6,53,1647,5.26,5.3,3.25
0.8,Ideal,F,VS1,61.6,54,3953,5.95,5.99,3.68
1.07,Ideal,G,VS2,62.2,57,6471,6.55,6.53,4.07
0.71,Very Good,H,SI1,64,58,2141,5.57,5.61,3.58
0.91,Premium,F,SI2,58.9,61,3546,6.36,6.33,3.74
0.38,Ideal,E,VVS2,62.2,56,1100,4.58,4.65,2.87
0.3,Ideal,I,SI1,62.3,56,506,4.35,4.32,2.7
0.31,Ideal,F,VS2,60.5,57,591,4.39,4.41,2.66
0.51,Ideal,F,VS1,61.9,56,1744,5.11,5.17,3.18
0.91,Very Good,G,SI1,63.5,61,3710,6.1,6.05,3.86
0.5,Ideal,H,SI1,61.8,56,1035,5.1,5.12,3.16
0.8,Ideal,F,SI1,62.4,57,2890,5.9,5.87,3.67
0.31,Ideal,F,VVS1,61.4,56,840,4.37,4.4,2.69
0.65,Premium,E,SI2,61.4,59,1640,5.57,5.52,3.41
0.41,Premium,G,VS2,61.4,59,827,4.75,4.79,2.93
0.41,Ideal,H,VVS2,62,56,961,4.78,4.74,2.95
0.33,Premium,G,VS1,61.9,59,666,4.43,4.45,2.75
